YEARS,CO2EQ,KYOTO-CO2EQ,CO2,           CH4      ,           N2O    ,FGASSUMHFC134AEQ     ,MHALOSUMCFC12EQ      ,           CF4      ,          C2F6      ,        C6F14       ,         HFC23      ,         HFC32      ,      HFC43_10      ,        HFC125      ,       HFC134a      ,       HFC143a      ,      HFC227ea      ,      HFC245fa      ,           SF6      ,        CFC_11      ,        CFC_12      ,       CFC_113      ,       CFC_114      ,       CFC_115      ,      CARB_TET      ,           MCF      ,       HCFC_22      ,     HCFC_141B      ,     HCFC_142B      ,     HALON1211      ,     HALON1202      ,     HALON1301      ,     HALON2402      ,         CH3BR      ,         CH3CL
1806,2.8241845E+02,2.8487335E+02,2.8348978E+02,7.4696192E+02,2.7381758E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1807,2.8251428E+02,2.8499687E+02,2.8357796E+02,7.4792726E+02,2.7384297E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1808,2.8263057E+02,2.8511549E+02,2.8366116E+02,7.4889296E+02,2.7386887E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1809,2.8273903E+02,2.8522469E+02,2.8373511E+02,7.4985122E+02,2.7389529E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1810,2.828364E+02,2.8532127E+02,2.8379676E+02,7.5079817E+02,2.7392226E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1811,2.8290004E+02,2.8540595E+02,2.8384667E+02,7.5173895E+02,2.7394981E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1812,2.829574E+02,2.8548271E+02,2.8388853E+02,7.5268156E+02,2.7397794E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1813,2.8303571E+02,2.8555542E+02,2.8392613E+02,7.5362843E+02,2.7400668E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1814,2.8311463E+02,2.8562726E+02,2.8396267E+02,7.5457866E+02,2.7403605E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
1815,2.8317382E+02,2.8570118E+02,2.8400107E+02,7.5553133E+02,2.7406606E+02,0E+00,0E+00,3.5E+01,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,0E+00,5.8E+00,4.8E+02
